ComponentId,Amount,Unit,UsedByClass,UsedById,UsesClass,UsesId,CreateTS,ModifiedTS,ClassName,RecordId
cf5c7315-886b-47f0-85e6-4187e23d1096,1,ea,wt.part.WTPart,97729,wt.part.WTPartMaster,96989,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127785
425ed057-f7d4-4398-8b0e-c8cfa849c9ac,1,ea,wt.part.WTPart,97739,wt.part.WTPartMaster,96819,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127786
0200377e-e7ff-43b4-a1ef-f56312c7f32f,1,ea,wt.part.WTPart,97765,wt.part.WTPartMaster,96999,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127787
3bc6a3ad-d10e-44c1-a327-0524be2bda78,1,ea,wt.part.WTPart,97640,wt.part.WTPartMaster,96790,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127788
6f06e748-2cc1-4d73-9171-e88652fb7449,1,ea,wt.part.WTPart,97677,wt.part.WTPartMaster,96867,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127789
48216a9e-0fc1-42c1-ae30-a060d73759b4,1,ea,wt.part.WTPart,97739,wt.part.WTPartMaster,96803,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127790
1e49f5be-57db-461d-a9c5-ce7c90e832f2,1,ea,wt.part.WTPart,97739,wt.part.WTPartMaster,97011,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127791
11fe8a19-9939-4a08-b467-968acd796d5b,1,ea,wt.part.WTPart,97752,wt.part.WTPartMaster,96900,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127792
3d50e8dd-004d-4f33-9157-9eb1b2f5bed8,1,ea,wt.part.WTPart,97865,wt.part.WTPartMaster,97022,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127793
5b03b919-1aba-4eae-bb78-316ab09cadeb,12,ea,wt.part.WTPart,97697,wt.part.WTPartMaster,96949,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127794
100b4871-bb40-49f3-8bf2-80b7724380ff,1,ea,wt.part.WTPart,97755,wt.part.WTPartMaster,96757,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127795
77799a2d-b634-4cb9-8f7d-9a9a7cb9ffbc,1,ea,wt.part.WTPart,97632,wt.part.WTPartMaster,96817,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127796
ebf2b8fb-b4bf-4689-9c71-f6ac28b17b1f,1,ea,wt.part.WTPart,97837,wt.part.WTPartMaster,96945,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127797
58992f22-3369-459b-89b9-2c191e854f98,1,ea,wt.part.WTPart,97752,wt.part.WTPartMaster,96860,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127798
